Customer Lifetime Value,Response,EmploymentStatus,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Total Claim Amount
7838.068321,No,Unemployed,0,69,9,12,2.704934
4305.808345,No,Employed,24188,109,14,82,523.2
5973.976904,No,Employed,41611,74,14,8,113.801497
5670.442396,No,Employed,28406,72,16,35,192.87572
4731.749346,No,Employed,69833,118,32,99,828.662719
8026.379641,No,Unemployed,0,74,15,91,532.8
4022.963529,No,Unemployed,0,117,6,1,975.107098
9618.310865,No,Employed,80536,119,5,83,53.798708
2274.775451,No,Unemployed,0,63,2,5,606.642452
9552.926922,No,Employed,97732,79,0,70,289.9122
10388.55323,No,Employed,61222,89,20,55,392.604371
2470.121222,No,Unemployed,0,74,7,20,721.242206
5619.068508,No,Employed,50335,140,9,54,456.52385
9047.119209,No,Unemployed,0,127,30,11,1087.995426
6692.143668,No,Employed,63221,168,28,49,806.4
3731.504584,Yes,Unemployed,0,96,31,34,460.8
3660.770258,No,Employed,64495,92,34,30,251.992083
7928.829252,No,Unemployed,0,72,7,75,345.6
5011.751577,No,Employed,28859,67,24,51,321.6
7988.258292,No,Employed,77330,99,0,21,99.257608
3885.456401,Yes,Unemployed,0,105,3,92,504
2659.337982,No,Employed,24495,70,29,65,336
8564.768226,Yes,Employed,95697,107,29,29,178.006524
4885.162511,No,Disabled,26372,126,11,7,604.8
9753.307106,No,Medical Leave,17514,127,2,5,8.312729
2946.153697,No,Employed,89270,74,17,90,316.599228
2581.110945,No,Employed,29757,65,13,55,312
3517.385764,No,Employed,51814,92,28,89,56.300724
9743.350113,No,Employed,24028,82,14,27,393.6
3873.647046,Yes,Retired,28142,105,18,50,701.708239
7649.28199,No,Employed,52705,64,14,8,128.705563
2287.59692,No,Unemployed,0,63,1,5,679.368378
4475.424592,No,Employed,84903,111,7,63,497.126827
8714.922135,Yes,Unemployed,0,118,14,64,566.4
2248.449633,Yes,Retired,24910,63,7,63,347.857619
7416.197322,No,Unemployed,0,77,15,12,554.4
7771.158973,No,Medical Leave,21876,68,12,28,465.41477
6968.3419,No,Unemployed,0,69,33,61,496.8
4250.282624,Yes,Unemployed,0,61,17,1,292.8
19776.56654,No,Employed,70699,82,1,57,256.813837
21343.46599,No,Unemployed,0,74,11,85,355.2
2413.139714,No,Medical Leave,27501,63,20,0,542.319401
15363.84716,No,Disabled,15897,101,30,99,303.148399
8456.961887,No,Employed,25141,73,12,4,25.438063
2189.642522,No,Unemployed,0,61,5,46,292.8
5780.182197,Yes,Employed,51066,74,23,0,787.993313
4639.981638,No,Employed,28358,117,24,37,84.024413
4465.335703,No,Employed,61846,112,1,48,215.8182
5968.118877,No,Employed,90972,74,3,47,232.926145
5097.763337,No,Unemployed,0,74,3,95,532.8
4076.634665,No,Employed,29549,104,17,51,710.433775
12252.60179,No,Unemployed,0,115,12,17,552
16936.27147,No,Employed,39411,217,4,29,1122.658899
4892.435461,No,Employed,21709,62,28,17,408.374746
9942.304791,No,Employed,67890,85,23,57,408
3735.838129,No,Unemployed,0,110,3,16,792
13117.52215,No,Employed,84311,111,11,98,532.8
4574.524094,No,Employed,99316,114,26,53,754.358929
5470.060561,Yes,Employed,54507,138,20,11,702.990032
2978.84601,No,Employed,64586,76,3,17,206.837111
6410.967544,No,Employed,61709,82,5,41,275.395894
4479.023088,No,Employed,94656,111,12,79,459.738128
2383.731879,No,Unemployed,0,69,5,40,496.8
2764.493659,No,Employed,61085,70,27,34,336
7920.105377,No,Employed,89284,67,7,31,321.6
6889.097981,No,Unemployed,0,63,6,12,302.4
3274.194616,No,Employed,31686,81,11,33,430.994107
9951.707743,No,Employed,56855,255,12,1,1836
2521.555686,No,Employed,53703,67,3,45,67.632476
23706.11337,No,Unemployed,0,96,12,35,844.481918
6047.02516,Yes,Employed,20396,76,15,60,364.8
11140.30248,No,Disabled,27679,150,30,28,722.486994
4334.064096,Yes,Retired,23904,123,1,67,590.4
2799.74791,No,Employed,65351,69,4,54,481.027516
7923.136624,No,Unemployed,0,113,20,1,1124.427734
3688.110888,No,Unemployed,0,63,0,54,669.682001
12067.45599,No,Unemployed,0,116,14,35,1284.093173
2924.976721,No,Employed,64459,72,16,64,240.259479
15014.0927,No,Employed,32961,190,13,53,912
9277.233839,No,Employed,71416,116,10,0,556.8
6274.123875,No,Employed,68964,78,15,6,115.086827
3886.647414,No,Employed,78108,98,12,34,470.4
4386.277558,Yes,Retired,10621,67,28,22,321.6
11365.26766,No,Employed,84910,95,4,69,383.167471
5610.96434,No,Employed,77493,70,2,35,307.963291
2912.892035,No,Employed,81097,74,7,67,355.2
6915.729915,No,Employed,96610,85,6,23,520.364752
6262.663307,No,Employed,30110,159,20,71,466.436375
6503.397049,Yes,Disabled,22081,84,1,9,451.670309
8007.399376,Yes,Unemployed,0,112,12,93,537.6
2929.916512,No,Employed,98473,72,19,69,345.6
5969.55297,No,Employed,97431,74,1,72,355.2
5473.15987,No,Employed,93870,69,1,96,331.2
5645.396665,No,Employed,50366,72,9,5,428.734656
6369.262355,Yes,Employed,34498,83,30,72,398.4
11833.76732,No,Disabled,16552,103,23,53,494.4
6121.107929,No,Employed,26787,77,7,50,369.6
5159.369746,No,Unemployed,0,74,2,42,831.752839
2514.59196,Yes,Employed,43860,65,15,58,156.124914
8668.611261,No,Employed,21474,114,13,72,373.428187
4960.965384,No,Disabled,18174,66,8,16,395.934815
5504.139033,Yes,Unemployed,0,73,18,45,350.4
7507.455372,Yes,Employed,60920,64,10,61,231.201886
32269.85139,No,Employed,41520,90,18,70,289.904105
5657.031588,No,Unemployed,0,152,12,89,729.6
5061.757902,No,Unemployed,0,68,19,16,326.4
5912.783829,No,Employed,72208,73,3,84,350.4
15182.27975,No,Employed,53863,63,12,30,105.765111
10747.03094,No,Employed,66446,136,8,77,639.464548
2050.623512,No,Unemployed,0,61,18,26,292.8
2465.444865,No,Employed,64997,63,7,99,383.442328
5343.121327,No,Employed,64460,66,18,42,316.8
8119.829071,No,Employed,46618,67,22,77,99.085943
4605.265164,No,Unemployed,0,64,13,64,307.2
6408.785577,No,Employed,49988,84,6,37,566.935022
2376.533508,No,Unemployed,0,91,2,8,436.8
3211.070017,No,Disabled,16269,86,6,84,412.8
5094.522262,No,Employed,72006,64,4,38,307.2
25755.27817,No,Unemployed,0,81,3,60,388.8
8672.229719,No,Unemployed,0,245,34,83,2345.413441
8044.73072,No,Employed,44320,67,13,79,321.6
4001.519098,No,Retired,19782,108,13,66,773.470977
16706.11699,No,Employed,63933,70,35,98,424.883448
8544.411077,No,Employed,28224,109,13,13,523.2
7805.31287,Yes,Retired,21073,106,25,54,508.8
6112.756868,No,Employed,63243,77,21,73,364.240307
4772.943848,Yes,Retired,20993,133,35,90,638.4
10979.09559,No,Employed,94827,135,5,64,354.729129
5004.263818,No,Employed,39161,63,18,83,283.995953
13223.04379,No,Employed,37534,84,2,0,403.2
2623.31543,No,Employed,80210,65,30,28,20.543176
17840.19555,No,Unemployed,0,62,32,59,385.115437
5106.111827,No,Employed,30110,64,2,4,140.165035
17930.60451,No,Medical Leave,21708,68,28,77,326.4
5457.342569,No,Employed,94731,67,23,65,321.6
6563.644143,No,Employed,32375,83,17,83,398.4
4812.525221,No,Medical Leave,16531,63,0,40,102.879769
29328.04185,No,Employed,32006,94,28,7,56.868289
5773.520711,No,Employed,81676,72,21,86,463.158502
6847.1189,No,Employed,71038,86,15,56,205.444066
3595.31286,No,Unemployed,0,103,20,43,741.6
22855.61209,No,Medical Leave,20832,65,8,32,56.371967
7859.414569,No,Unemployed,0,113,19,10,813.6
4115.577437,No,Employed,52405,103,2,27,494.4
5029.638777,No,Unemployed,0,133,3,89,795.864079
4821.418454,No,Employed,26583,128,6,46,614.4
5004.310469,No,Disabled,25486,65,15,53,72.438681
8630.053943,No,Employed,24065,111,30,1,532.8
9322.08512,No,Employed,70435,116,0,50,67.881546
16727.56063,No,Unemployed,0,76,33,36,402.636829
3652.532435,No,Employed,39679,92,2,85,641.388616
6158.601171,No,Unemployed,0,89,13,45,342.481173
4376.083958,No,Unemployed,0,69,21,70,331.2
5569.456156,No,Employed,53565,71,27,34,340.8
2576.513006,No,Employed,37574,66,19,14,412.101933
8346.983233,No,Employed,48259,108,14,79,73.700573
6323.923864,No,Employed,78532,78,25,87,374.4
5973.14343,No,Employed,96163,73,23,90,350.4
4706.676993,No,Unemployed,0,72,0,86,345.6
8093.410258,No,Unemployed,0,114,9,72,722.024742
5035.744643,No,Employed,72672,63,7,39,259.361117
9027.867218,No,Employed,99002,112,33,75,537.6
7288.884849,No,Employed,79494,91,19,30,396.295614
18042.47942,No,Employed,35704,225,21,35,358.281562
4992.063043,No,Unemployed,0,71,6,5,653.388564
9102.267849,No,Disabled,26049,118,17,6,121.032372
2540.407726,No,Employed,70125,64,21,77,92.813396
12941.89193,No,Employed,52369,110,34,49,528
2365.348601,No,Unemployed,0,66,25,51,159.636956
5720.765064,No,Employed,41770,72,0,60,476.156957
7035.534088,No,Unemployed,0,101,16,88,727.2
2636.97773,No,Employed,31911,67,33,27,321.6
5395.831967,No,Employed,70051,68,15,69,42.078345
8382.630118,Yes,Retired,19683,117,17,41,561.6
31161.74523,No,Employed,30916,112,7,65,200.11606
2887.742258,No,Unemployed,0,80,24,95,676.944023
8714.922135,Yes,Unemployed,0,118,14,64,566.4
25585.72783,No,Unemployed,0,116,0,45,830.623064
10272.6082,No,Employed,60145,132,8,28,580.473259
4376.363592,Yes,Employed,63774,111,18,63,60.036683
5318.89664,Yes,Employed,25134,67,3,0,321.6
4719.762191,No,Employed,37057,61,5,48,47.53101
4428.031583,Yes,Employed,58577,110,6,62,303.872752
5879.176092,No,Employed,85857,73,3,19,100.620067
9416.908485,No,Employed,70602,116,8,47,481.339891
8288.155579,No,Employed,33816,106,10,97,508.8
32654.8383,No,Unemployed,0,153,7,75,1101.6
4719.450052,No,Employed,89642,121,11,20,86.320022
3903.474784,No,Employed,60068,98,17,75,470.4
5457.259678,No,Employed,50044,139,16,14,667.2
2725.356404,Yes,Employed,36650,69,2,70,56.60333
4433.97368,No,Employed,50653,110,29,42,262.865172
5332.462694,Yes,Employed,68931,66,32,30,309.577946
2315.094985,No,Unemployed,0,73,14,39,350.4
5411.953687,No,Unemployed,0,73,1,22,365.364581
9587.33234,No,Employed,39266,80,33,31,384
22103.5072,Yes,Unemployed,0,102,35,48,489.6
9764.945308,No,Unemployed,0,98,24,11,705.6
2567.151468,No,Employed,40864,65,2,75,9.51528
2650.622781,No,Employed,39035,68,15,65,244.564334
11264.36334,No,Employed,34923,98,23,82,639.105556
2168.523464,No,Unemployed,0,63,1,56,453.6
8610.667489,No,Unemployed,0,111,27,36,532.8
2834.646235,No,Employed,24506,71,7,47,511.2
8930.139728,No,Unemployed,0,82,25,63,554.522969
5536.386959,No,Employed,52220,70,17,42,336
2840.85429,No,Unemployed,0,74,17,73,402.449823
8082.880956,No,Employed,53554,67,6,5,327.020539
5254.734278,No,Employed,34476,67,23,49,5.3953
5116.237577,No,Unemployed,0,70,1,11,131.401291
3034.646997,No,Employed,68205,76,35,14,99.382943
8024.89992,No,Unemployed,0,119,6,48,856.8
18211.14319,No,Employed,53690,154,20,97,739.2
5121.563312,No,Unemployed,0,72,2,22,518.4
2150.178588,No,Unemployed,0,61,28,31,292.8
5595.389905,Yes,Employed,74454,71,25,29,340.8
7562.824036,No,Unemployed,0,73,23,91,350.4
5385.853211,No,Medical Leave,29664,71,1,69,340.8
4718.558501,No,Disabled,15680,64,20,29,260.879903
9422.567923,No,Employed,47272,79,17,17,64.546877
3605.860265,No,Employed,21585,92,35,61,441.6
7762.590564,No,Disabled,23827,106,18,77,37.910623
23444.90045,No,Employed,69906,74,34,32,202.860399
2558.178159,No,Unemployed,0,72,7,77,345.6
5123.170887,No,Employed,89879,63,17,20,94.030308
2537.744494,No,Unemployed,0,69,9,89,331.2
2969.593296,No,Employed,46131,74,27,28,355.2
4363.124641,No,Employed,54514,109,5,36,286.234931
5884.308607,No,Unemployed,0,161,29,1,1159.2
5272.191556,No,Employed,96668,66,2,95,316.8
5509.895664,No,Employed,78879,69,9,67,466.570791
16313.68349,No,Unemployed,0,69,21,86,331.2
5678.050167,Yes,Unemployed,0,76,8,44,364.8
12101.20884,No,Unemployed,0,112,28,30,1252.406235
2453.570794,Yes,Medical Leave,29735,69,3,92,331.2
5075.66267,No,Medical Leave,23082,65,18,90,312
3214.979402,No,Employed,53984,80,15,62,421.484456
12275.34309,No,Employed,52135,156,6,86,430.505942
2722.210707,Yes,Medical Leave,17576,71,29,70,398.502948
2457.440923,No,Employed,29486,62,19,73,7.646763
3554.845264,Yes,Employed,58557,88,4,83,55.510526
4929.549699,Yes,Employed,25632,63,27,52,351.270869
8036.45034,No,Unemployed,0,112,7,42,806.4
4276.915328,No,Disabled,18768,68,19,53,647.454583
33473.34946,Yes,Employed,33190,106,18,95,508.8
5960.581363,No,Employed,47945,74,32,39,128.43823
44795.46942,No,Employed,58778,126,6,62,302.033971
3832.118106,No,Disabled,15192,100,1,7,480
6837.932624,No,Employed,51859,171,0,21,1003.160633
5285.26816,No,Retired,23422,72,25,76,518.4
3096.511217,Yes,Employed,21604,79,14,28,379.2
3589.710715,No,Employed,79298,90,22,2,244.362072
2582.408525,Yes,Employed,76731,64,2,68,201.455005
2487.729726,No,Employed,67282,62,29,27,297.6
13575.67599,No,Employed,48534,115,29,79,552
4685.504251,No,Employed,77678,116,32,81,741.418485
28685.82785,No,Employed,48412,104,15,23,707.430832
2764.032126,No,Employed,33837,72,29,54,305.575785
6183.111464,No,Disabled,23712,85,2,20,376.126419
3873.647046,Yes,Retired,28142,105,18,50,701.708239
18929.3306,No,Employed,72196,68,8,61,152.184244
5553.295758,No,Employed,68197,69,1,81,176.819414
5011.259184,No,Employed,75248,63,13,71,104.454624
10442.44633,No,Unemployed,0,98,9,50,941.718054
2199.61781,No,Unemployed,0,65,5,19,468
8709.845263,No,Employed,41546,111,4,47,121.306839
7484.310483,No,Employed,46998,96,13,98,460.8
2613.023132,No,Employed,57099,67,20,37,67.859881
9080.639651,No,Employed,33897,114,15,67,539.843003
13770.97618,Yes,Employed,59207,116,23,21,556.8
2876.822941,No,Employed,40171,73,8,78,350.4
5548.031892,Yes,Employed,67798,69,1,78,331.2
5097.526248,No,Medical Leave,21665,136,0,25,765.709629
24143.87556,No,Unemployed,0,87,9,75,626.4
3538.059456,No,Unemployed,0,67,12,67,321.6
29091.23936,No,Employed,34226,244,29,22,494.395024
19834.20115,No,Employed,65989,123,4,43,115.545086
4731.366975,No,Employed,30686,61,22,45,19.938981
35537.846,No,Unemployed,0,113,15,6,799.926741
34611.37896,Yes,Employed,20090,109,10,59,523.2
20216.30883,No,Unemployed,0,183,6,16,878.4
13976.51925,No,Employed,77094,176,25,29,444.470676
5904.088162,No,Employed,97413,73,21,80,268.819985
5595.835041,No,Employed,79189,69,6,97,331.2
2294.303629,No,Unemployed,0,62,5,31,297.6
6273.911874,Yes,Retired,18577,86,21,76,412.8
3726.727996,No,Unemployed,0,112,7,34,806.4
5285.118669,No,Employed,40783,67,13,43,321.6
5110.680779,No,Unemployed,0,74,34,51,532.8
7126.596501,No,Medical Leave,17483,183,24,63,1317.6
4601.634099,No,Employed,84394,114,9,38,691.412378
9155.239699,No,Unemployed,0,127,3,93,804.811859
14808.05624,No,Employed,41440,62,20,80,297.6
8901.678357,No,Unemployed,0,136,14,69,1090.86434
5734.598243,No,Employed,98132,71,10,61,50.587035
4177.696973,No,Unemployed,0,112,4,49,537.6
27776.28906,No,Employed,88220,230,28,63,151.528482
10364.34749,No,Employed,58327,129,31,5,347.075948
7851.901368,No,Employed,25950,66,27,1,271.697529
4772.943848,Yes,Retired,20993,133,35,90,638.4
14226.50485,No,Employed,65726,177,35,90,849.6
4031.104947,No,Unemployed,0,63,35,59,639.45899
2794.907476,No,Employed,39783,72,28,43,345.6
4362.931238,Yes,Employed,58842,110,6,74,528
9624.524417,No,Employed,25629,124,3,70,595.2
5015.009472,Yes,Employed,48567,130,12,15,624
6948.422239,No,Unemployed,0,196,0,73,1337.063487
2896.918767,No,Employed,33746,74,1,6,355.2
21903.91364,No,Employed,22254,79,22,75,125.194389
9028.821403,No,Employed,65974,113,3,43,235.220971
5303.759534,No,Unemployed,0,76,18,63,395.34111
4165.354461,No,Medical Leave,17161,113,1,22,542.4
5123.768112,No,Unemployed,0,74,1,62,772.798511
9492.342964,No,Unemployed,0,132,9,85,633.6
8204.863191,No,Unemployed,0,73,9,14,350.4
9877.295699,No,Employed,67752,131,4,40,168.517149
4815.009736,No,Disabled,25398,64,30,80,307.2
6277.011679,No,Unemployed,0,88,30,19,633.6
8260.639809,No,Employed,33321,105,6,2,504
2549.450038,No,Unemployed,0,78,13,32,845.654042
4502.679656,No,Employed,68798,114,19,69,92.915251
3803.921781,No,Medical Leave,20325,100,4,6,668.29397
8635.4035,No,Medical Leave,13129,117,15,93,700.901632
5510.558964,No,Unemployed,0,73,24,57,525.6
3585.884123,No,Employed,49080,91,14,68,25.299
4889.25278,No,Employed,42536,63,30,57,375.330097
2756.941661,No,Medical Leave,29926,74,25,34,418.233667
3289.547398,No,Unemployed,0,86,5,55,398.240791
10937.1785,No,Employed,21450,138,15,35,938.513425
7375.567916,No,Employed,33345,65,32,52,338.619869
10110.77818,No,Medical Leave,15752,90,27,37,339.344531
5119.414293,No,Employed,40169,65,1,47,302.818833
8533.832013,No,Disabled,26049,113,10,15,619.165344
2224.768,No,Unemployed,0,68,3,4,326.4
8042.803784,No,Employed,55411,100,24,53,259.561195
2554.437138,No,Medical Leave,12459,70,4,41,336
18073.93999,No,Employed,64620,76,24,32,364.8
2430.506586,No,Employed,83140,61,25,70,179.161843
3167.658442,No,Unemployed,0,92,20,50,662.4
5465.603983,No,Employed,54422,68,9,8,75.501852
10357.51422,No,Employed,68309,131,4,67,306.983596
2537.813878,No,Employed,56621,65,27,36,84.026848
2821.947219,No,Employed,38977,70,27,22,139.489926
7757.128146,No,Unemployed,0,111,32,13,607.4459
4079.132667,No,Unemployed,0,114,12,43,631.124372
5955.544552,No,Unemployed,0,83,35,87,628.023494
14158.61364,No,Employed,83235,70,16,33,336
8487.238032,No,Unemployed,0,74,7,93,426.655599
6285.476868,No,Employed,32390,80,20,36,91.417923
11473.48149,No,Employed,66538,95,14,64,317.844812
2310.882998,No,Unemployed,0,64,12,24,460.8
23594.6802,Yes,Employed,76358,66,25,3,86.461582
2514.59196,Yes,Employed,43860,65,15,58,156.124914
5380.898636,Yes,Employed,55350,67,0,13,321.6
4770.550911,Yes,Medical Leave,12964,65,2,37,362.774545
6756.651404,No,Employed,33288,86,1,27,221.856184
5936.011773,No,Unemployed,0,84,31,25,980.169081
3570.760509,No,Employed,56168,88,13,20,614.675906
6019.960469,No,Unemployed,0,92,3,28,662.4
5426.863953,No,Employed,23105,69,15,21,331.2
2730.313804,No,Employed,36218,68,6,83,145.252168
4982.681374,No,Employed,52275,62,6,88,374.240783
8769.266756,No,Employed,49665,74,5,51,355.2
4220.613534,No,Employed,32471,110,0,87,528
11537.50507,No,Unemployed,0,86,12,89,619.2
5887.182043,No,Employed,62773,73,19,57,80.669257
4700.583771,No,Employed,76694,117,34,23,561.6
10963.95723,Yes,Employed,55687,276,33,91,1324.8
2523.171245,No,Unemployed,0,70,20,81,504
3757.804716,No,Employed,36633,96,20,61,460.8
12941.73353,No,Employed,77060,106,23,90,468.566133
3764.465074,No,Employed,92600,94,9,48,842.43785
6889.557028,No,Unemployed,0,66,2,75,475.2
3623.454198,No,Unemployed,0,111,6,24,1171.93117
7582.113842,Yes,Employed,64801,64,23,19,268.471802
8277.74558,No,Employed,45257,103,33,90,494.4
2576.455597,No,Medical Leave,26854,66,31,70,475.2
8205.387936,No,Employed,85840,102,14,79,138.722385
19582.46887,No,Medical Leave,26463,72,28,93,345.6
6481.526576,No,Employed,30689,81,23,51,467.24802
2599.310879,No,Employed,29590,66,17,18,467.503236
9830.337629,No,Employed,25965,253,15,59,1214.4
10442.65139,No,Medical Leave,17269,139,3,31,667.2
36057.53702,No,Employed,90330,137,0,86,192.085299
8470.036773,No,Unemployed,0,113,34,5,619.973889
8278.786492,No,Unemployed,0,110,20,66,1002.782553
4788.932598,No,Unemployed,0,67,2,49,321.6
3087.999917,No,Disabled,18558,80,17,23,384
4443.736209,No,Employed,46384,113,33,93,251.774574
7984.086473,No,Unemployed,0,72,1,77,866.208321
7180.971028,No,Employed,42303,180,24,66,1210.920949
15656.03434,No,Employed,71731,130,12,50,599.648466
5780.182197,Yes,Employed,51066,74,23,0,787.993313
20714.94043,No,Unemployed,0,203,20,66,2027.724442
5337.352409,No,Unemployed,0,86,19,93,619.2
5050.826183,No,Unemployed,0,69,16,45,72.852047
5116.624022,No,Employed,26173,68,2,10,449.819671
7268.736958,No,Employed,24445,63,18,15,302.4
2616.613903,Yes,Employed,72302,66,6,27,316.8
