State,Customer Lifetime Value,Coverage,Monthly Premium Auto,Total Claim Amount,Vehicle Class,Vehicle Size
Arizona,25755.27817,Extended,81,388.8,Four-Door Car,Small
Oregon,8672.229719,Extended,245,2345.413441,Luxury SUV,Medsize
California,8044.73072,Basic,67,321.6,Four-Door Car,Medsize
Arizona,4001.519098,Premium,108,773.470977,Two-Door Car,Medsize
Nevada,16706.11699,Basic,70,424.883448,Two-Door Car,Medsize
Arizona,8544.411077,Basic,109,523.2,SUV,Medsize
Washington,7805.31287,Basic,106,508.8,SUV,Small
Oregon,6112.756868,Extended,77,364.240307,Four-Door Car,Large
Nevada,4772.943848,Extended,133,638.4,SUV,Medsize
Oregon,10979.09559,Extended,135,354.729129,SUV,Medsize
California,5004.263818,Basic,63,283.995953,Two-Door Car,Small
Washington,13223.04379,Extended,84,403.2,Four-Door Car,Medsize
Oregon,2623.31543,Basic,65,20.543176,Four-Door Car,Medsize
California,17840.19555,Basic,62,385.115437,Four-Door Car,Small
California,5106.111827,Basic,64,140.165035,Four-Door Car,Medsize
Arizona,17930.60451,Basic,68,326.4,Four-Door Car,Medsize
Arizona,5457.342569,Basic,67,321.6,Four-Door Car,Medsize
California,6563.644143,Extended,83,398.4,Four-Door Car,Small
Oregon,4812.525221,Basic,63,102.879769,Four-Door Car,Medsize
Arizona,29328.04185,Extended,94,56.868289,Four-Door Car,Medsize
Arizona,5773.520711,Basic,72,463.158502,Two-Door Car,Small
California,6847.1189,Extended,86,205.444066,Four-Door Car,Medsize
Arizona,3595.31286,Basic,103,741.6,Sports Car,Medsize
Nevada,22855.61209,Basic,65,56.371967,Two-Door Car,Medsize
Washington,7859.414569,Basic,113,813.6,SUV,Medsize
Oregon,4115.577437,Premium,103,494.4,Four-Door Car,Medsize
Arizona,5029.638777,Extended,133,795.864079,Sports Car,Small
Washington,4821.418454,Extended,128,614.4,SUV,Medsize
Oregon,5004.310469,Basic,65,72.438681,Two-Door Car,Medsize
Arizona,8630.053943,Premium,111,532.8,Four-Door Car,Medsize
Arizona,9322.08512,Premium,116,67.881546,Four-Door Car,Medsize
California,16727.56063,Extended,76,402.636829,Two-Door Car,Medsize
Oregon,3652.532435,Extended,92,641.388616,Two-Door Car,Medsize
Nevada,6158.601171,Extended,89,342.481173,Four-Door Car,Medsize
California,4376.083958,Basic,69,331.2,Two-Door Car,Medsize
Nevada,5569.456156,Basic,71,340.8,Four-Door Car,Small
Washington,2576.513006,Basic,66,412.101933,Two-Door Car,Medsize
Washington,8346.983233,Premium,108,73.700573,Two-Door Car,Medsize
Arizona,6323.923864,Extended,78,374.4,Four-Door Car,Medsize
Arizona,5973.14343,Basic,73,350.4,Four-Door Car,Medsize
California,4706.676993,Basic,72,345.6,Four-Door Car,Medsize
California,8093.410258,Basic,114,722.024742,Sports Car,Medsize
Washington,5035.744643,Basic,63,259.361117,Four-Door Car,Large
Oregon,9027.867218,Premium,112,537.6,Four-Door Car,Medsize
California,7288.884849,Extended,91,396.295614,Four-Door Car,Large
Oregon,18042.47942,Extended,225,358.281562,Luxury Car,Medsize
Arizona,4992.063043,Basic,71,653.388564,Four-Door Car,Small
Oregon,9102.267849,Premium,118,121.032372,Two-Door Car,Large
Arizona,2540.407726,Basic,64,92.813396,Four-Door Car,Medsize
California,12941.89193,Basic,110,528,SUV,Medsize
Washington,2365.348601,Basic,66,159.636956,Four-Door Car,Medsize
Arizona,5720.765064,Basic,72,476.156957,Four-Door Car,Small
Oregon,7035.534088,Premium,101,727.2,Four-Door Car,Medsize
California,2636.97773,Basic,67,321.6,Four-Door Car,Medsize
Nevada,5395.831967,Basic,68,42.078345,Four-Door Car,Medsize
Oregon,8382.630118,Basic,117,561.6,Sports Car,Medsize
Washington,31161.74523,Basic,112,200.11606,SUV,Small
Oregon,2887.742258,Extended,80,676.944023,Four-Door Car,Medsize
Washington,8714.922135,Basic,118,566.4,SUV,Medsize
California,25585.72783,Basic,116,830.623064,SUV,Medsize
Oregon,10272.6082,Extended,132,580.473259,SUV,Medsize
Oregon,4376.363592,Premium,111,60.036683,Four-Door Car,Medsize
California,5318.89664,Basic,67,321.6,Four-Door Car,Small
Oregon,4719.762191,Basic,61,47.53101,Four-Door Car,Small
Oregon,4428.031583,Basic,110,303.872752,SUV,Medsize
California,5879.176092,Basic,73,100.620067,Four-Door Car,Medsize
Oregon,9416.908485,Basic,116,481.339891,SUV,Small
Oregon,8288.155579,Premium,106,508.8,Four-Door Car,Medsize
Oregon,32654.8383,Premium,153,1101.6,SUV,Medsize
Oregon,4719.450052,Extended,121,86.320022,SUV,Medsize
California,3903.474784,Extended,98,470.4,Two-Door Car,Small
California,5457.259678,Extended,139,667.2,SUV,Medsize
California,2725.356404,Basic,69,56.60333,Four-Door Car,Large
Arizona,4433.97368,Basic,110,262.865172,SUV,Small
Arizona,5332.462694,Basic,66,309.577946,Four-Door Car,Medsize
Oregon,2315.094985,Basic,73,350.4,Four-Door Car,Medsize
California,5411.953687,Basic,73,365.364581,Four-Door Car,Medsize
California,9587.33234,Extended,80,384,Four-Door Car,Medsize
California,22103.5072,Basic,102,489.6,SUV,Medsize
Nevada,9764.945308,Extended,98,705.6,Four-Door Car,Small
Nevada,2567.151468,Basic,65,9.51528,Four-Door Car,Medsize
Oregon,2650.622781,Basic,68,244.564334,Four-Door Car,Medsize
California,11264.36334,Extended,98,639.105556,Two-Door Car,Medsize
California,2168.523464,Basic,63,453.6,Four-Door Car,Medsize
California,8610.667489,Basic,111,532.8,SUV,Medsize
California,2834.646235,Basic,71,511.2,Two-Door Car,Medsize
Oregon,8930.139728,Extended,82,554.522969,Four-Door Car,Medsize
Arizona,5536.386959,Basic,70,336,Four-Door Car,Small
Arizona,2840.85429,Basic,74,402.449823,Two-Door Car,Medsize
California,8082.880956,Basic,67,327.020539,Four-Door Car,Large
California,5254.734278,Basic,67,5.3953,Four-Door Car,Medsize
Arizona,5116.237577,Basic,70,131.401291,Four-Door Car,Medsize
California,3034.646997,Extended,76,99.382943,Two-Door Car,Medsize
California,8024.89992,Basic,119,856.8,SUV,Medsize
California,18211.14319,Premium,154,739.2,SUV,Small
Oregon,5121.563312,Basic,72,518.4,Four-Door Car,Medsize
California,2150.178588,Basic,61,292.8,Four-Door Car,Medsize
California,5595.389905,Basic,71,340.8,Four-Door Car,Medsize
Nevada,7562.824036,Basic,73,350.4,Four-Door Car,Large
Oregon,5385.853211,Basic,71,340.8,Four-Door Car,Medsize
Washington,4718.558501,Basic,64,260.879903,Four-Door Car,Medsize
Nevada,9422.567923,Extended,79,64.546877,Four-Door Car,Medsize
Oregon,3605.860265,Extended,92,441.6,Four-Door Car,Medsize
California,7762.590564,Premium,106,37.910623,Four-Door Car,Medsize
Arizona,23444.90045,Basic,74,202.860399,Four-Door Car,Medsize
California,2558.178159,Basic,72,345.6,Four-Door Car,Small
Washington,5123.170887,Basic,63,94.030308,Two-Door Car,Medsize
Washington,2537.744494,Basic,69,331.2,Four-Door Car,Large
California,2969.593296,Basic,74,355.2,Two-Door Car,Small
Oregon,4363.124641,Basic,109,286.234931,SUV,Medsize
California,5884.308607,Premium,161,1159.2,SUV,Medsize
Nevada,5272.191556,Basic,66,316.8,Four-Door Car,Medsize
California,5509.895664,Basic,69,466.570791,Four-Door Car,Small
Nevada,16313.68349,Basic,69,331.2,Four-Door Car,Medsize
Arizona,5678.050167,Extended,76,364.8,Four-Door Car,Small
California,12101.20884,Basic,112,1252.406235,Sports Car,Large
Oregon,2453.570794,Basic,69,331.2,Four-Door Car,Medsize
California,5075.66267,Basic,65,312,Four-Door Car,Large
Arizona,3214.979402,Extended,80,421.484456,Four-Door Car,Small
California,12275.34309,Premium,156,430.505942,SUV,Small
California,2722.210707,Basic,71,398.502948,Four-Door Car,Medsize
Oregon,2457.440923,Basic,62,7.646763,Four-Door Car,Medsize
Oregon,3554.845264,Extended,88,55.510526,Four-Door Car,Large
California,4929.549699,Basic,63,351.270869,Two-Door Car,Medsize
California,8036.45034,Basic,112,806.4,Sports Car,Medsize
Arizona,4276.915328,Basic,68,647.454583,Four-Door Car,Medsize
California,33473.34946,Basic,106,508.8,SUV,Medsize
Oregon,5960.581363,Basic,74,128.43823,Two-Door Car,Medsize
Arizona,44795.46942,Extended,126,302.033971,SUV,Small
California,3832.118106,Basic,100,480,SUV,Medsize
California,6837.932624,Premium,171,1003.160633,SUV,Medsize
Nevada,5285.26816,Basic,72,518.4,Two-Door Car,Medsize
California,3096.511217,Extended,79,379.2,Four-Door Car,Medsize
Arizona,3589.710715,Extended,90,244.362072,Four-Door Car,Medsize
Arizona,2582.408525,Basic,64,201.455005,Four-Door Car,Medsize
Washington,2487.729726,Basic,62,297.6,Two-Door Car,Medsize
Arizona,13575.67599,Basic,115,552,SUV,Small
Washington,4685.504251,Premium,116,741.418485,Two-Door Car,Small
Oregon,28685.82785,Basic,104,707.430832,SUV,Medsize
Washington,2764.032126,Basic,72,305.575785,Two-Door Car,Medsize
Oregon,6183.111464,Extended,85,376.126419,Four-Door Car,Medsize
California,3873.647046,Basic,105,701.708239,Sports Car,Medsize
California,18929.3306,Basic,68,152.184244,Four-Door Car,Medsize
California,5553.295758,Basic,69,176.819414,Four-Door Car,Medsize
California,5011.259184,Basic,63,104.454624,Four-Door Car,Large
California,10442.44633,Extended,98,941.718054,Four-Door Car,Small
Nevada,2199.61781,Basic,65,468,Two-Door Car,Medsize
Washington,8709.845263,Premium,111,121.306839,Four-Door Car,Medsize
Oregon,7484.310483,Extended,96,460.8,Four-Door Car,Medsize
Oregon,2613.023132,Basic,67,67.859881,Two-Door Car,Small
Arizona,9080.639651,Basic,114,539.843003,SUV,Small
Nevada,13770.97618,Premium,116,556.8,Four-Door Car,Medsize
Oregon,2876.822941,Basic,73,350.4,Four-Door Car,Medsize
Washington,5548.031892,Basic,69,331.2,Four-Door Car,Medsize
Washington,5097.526248,Extended,136,765.709629,SUV,Medsize
Oregon,24143.87556,Extended,87,626.4,Four-Door Car,Medsize
Arizona,3538.059456,Basic,67,321.6,Four-Door Car,Medsize
Nevada,29091.23936,Extended,244,494.395024,Luxury SUV,Small
California,19834.20115,Extended,123,115.545086,SUV,Medsize
Oregon,4731.366975,Basic,61,19.938981,Four-Door Car,Medsize
California,35537.846,Basic,113,799.926741,Sports Car,Large
Arizona,34611.37896,Basic,109,523.2,Sports Car,Medsize
California,20216.30883,Basic,183,878.4,Luxury SUV,Large
Oregon,13976.51925,Premium,176,444.470676,SUV,Medsize
California,5904.088162,Basic,73,268.819985,Four-Door Car,Medsize
Oregon,5595.835041,Basic,69,331.2,Four-Door Car,Medsize
California,2294.303629,Basic,62,297.6,Two-Door Car,Medsize
Arizona,6273.911874,Extended,86,412.8,Four-Door Car,Medsize
Oregon,3726.727996,Basic,112,806.4,Sports Car,Medsize
Washington,5285.118669,Basic,67,321.6,Four-Door Car,Medsize
Oregon,5110.680779,Basic,74,532.8,Four-Door Car,Medsize
Nevada,7126.596501,Basic,183,1317.6,Luxury Car,Large
Oregon,4601.634099,Basic,114,691.412378,SUV,Medsize
Oregon,9155.239699,Extended,127,804.811859,Sports Car,Medsize
Oregon,14808.05624,Basic,62,297.6,Four-Door Car,Small
Arizona,8901.678357,Extended,136,1090.86434,Sports Car,Small
Oregon,5734.598243,Basic,71,50.587035,Two-Door Car,Medsize
Oregon,4177.696973,Premium,112,537.6,Four-Door Car,Medsize
California,27776.28906,Extended,230,151.528482,Luxury Car,Small
Arizona,10364.34749,Extended,129,347.075948,SUV,Medsize
Oregon,7851.901368,Basic,66,271.697529,Two-Door Car,Medsize
Oregon,4772.943848,Extended,133,638.4,SUV,Medsize
Oregon,14226.50485,Premium,177,849.6,SUV,Medsize
Washington,4031.104947,Basic,63,639.45899,Two-Door Car,Large
Washington,2794.907476,Basic,72,345.6,Two-Door Car,Medsize
California,4362.931238,Premium,110,528,Four-Door Car,Medsize
Oregon,9624.524417,Extended,124,595.2,Sports Car,Medsize
Washington,5015.009472,Extended,130,624,SUV,Medsize
